Model,SeqLen (T),# GPUs,GPU,MFU,HFU,MicroBatchSize,GradAccum,GlobalBatchSize,Throughput (S/s),Throughput (T/s),Throughput (T/s/GPU),GlobalBatchSize (T),Precision,MP Mode,Sharding Strategy,Activation Checkpointing,Activation CPUOffload,NumParams
3b,32768,8,h100_80gb,14.38,19.18,3,6,144,1,46853,5856,4718592,amp_fp8,DEFAULT,FULL_SHARD,True,False,2730480640
3b,8192,8,h100_80gb,23.28,23.28,3,6,144,18,153174,19146,1179648,amp_fp8,DEFAULT,FULL_SHARD,False,False,2667566080
3b,2048,8,h100_80gb,27.7,27.7,10,6,480,119,244692,30586,983040,amp_fp8,DEFAULT,FULL_SHARD,False,False,2651837440
3b,512,8,h100_80gb,30.25,30.25,40,6,1920,570,292217,36527,983040,amp_fp8,DEFAULT,FULL_SHARD,False,False,2647905280
1b,32768,8,h100_80gb,17.55,17.55,1,4,32,3,100643,12580,1048576,amp_fp8,DEFAULT,FULL_SHARD,False,False,1378865152
1b,8192,8,h100_80gb,20.71,20.71,2,4,64,31,256087,32010,524288,amp_fp8,DEFAULT,FULL_SHARD,False,False,1328533504
1b,512,8,h100_80gb,29.06,29.06,56,4,1792,1098,562523,70315,917504,amp_fp8,DEFAULT,FULL_SHARD,False,False,1312804864
350m,32768,8,h100_80gb,14.8,14.8,1,4,32,5,195516,24439,1048576,amp_fp8,DEFAULT,FULL_SHARD,False,False,387442688
350m,16384,8,h100_80gb,15.31,15.31,2,4,64,20,343435,42929,1048576,amp_fp8,DEFAULT,FULL_SHARD,False,False,370665472
350m,2048,8,h100_80gb,6.05,8.06,3,21,504,170,349409,43676,1032192,amp_fp8,DEFAULT,FULL_SHARD,True,False,355985408
350m,512,8,h100_80gb,17.77,17.77,56,4,1792,2412,1235360,154420,917504,amp_fp8,DEFAULT,FULL_SHARD,False,False,354412544
30b,8192,8,h100_80gb,13.69,18.25,1,21,168,1,10128,1266,1376256,amp_bf16,PURE,FULL_SHARD,True,False,30019254272
30b,8192,8,h100_80gb,13.76,18.34,1,21,168,1,10179,1272,1376256,amp_bf16,PURE,FULL_SHARD,True,False,30019254272
30b,8192,8,h100_80gb,13.93,18.58,1,21,168,1,10311,1288,1376256,amp_bf16,PURE,FULL_SHARD,True,False,30019254272
30b,4096,8,h100_80gb,17.25,23.0,1,21,168,3,13873,1734,688128,amp_bf16,PURE,FULL_SHARD,True,False,29989894144
30b,4096,8,h100_80gb,17.3,23.07,1,21,168,3,13917,1739,688128,amp_bf16,PURE,FULL_SHARD,True,False,29989894144
30b,4096,8,h100_80gb,17.26,23.01,1,21,168,3,13878,1734,688128,amp_bf16,PURE,FULL_SHARD,True,False,29989894144
30b,2048,8,h100_80gb,18.67,24.9,3,21,504,7,15700,1962,1032192,amp_bf16,PURE,FULL_SHARD,True,False,29975214080
30b,2048,8,h100_80gb,18.67,24.89,3,21,504,7,15693,1961,1032192,amp_bf16,PURE,FULL_SHARD,True,False,29975214080
30b,2048,8,h100_80gb,18.77,25.03,3,21,504,7,15781,1972,1032192,amp_bf16,PURE,FULL_SHARD,True,False,29975214080
30b,1024,8,h100_80gb,19.1,25.47,6,21,1008,16,16433,2054,1032192,amp_bf16,PURE,FULL_SHARD,True,False,29967874048
30b,1024,8,h100_80gb,18.91,25.22,6,21,1008,15,16271,2033,1032192,amp_bf16,PURE,FULL_SHARD,True,False,29967874048
30b,1024,8,h100_80gb,19.04,25.38,6,21,1008,15,16376,2047,1032192,amp_bf16,PURE,FULL_SHARD,True,False,29967874048
30b,512,8,h100_80gb,19.32,25.76,12,21,2016,32,16816,2102,1032192,amp_bf16,PURE,FULL_SHARD,True,False,29964204032
30b,512,8,h100_80gb,19.19,25.59,12,21,2016,32,16702,2087,1032192,amp_bf16,PURE,FULL_SHARD,True,False,29964204032
30b,512,8,h100_80gb,19.24,25.65,12,21,2016,32,16741,2092,1032192,amp_bf16,PURE,FULL_SHARD,True,False,29964204032
13b,32768,8,h100_80gb,15.28,20.37,1,3,24,0,15250,1906,786432,amp_bf16,PURE,FULL_SHARD,True,False,13011240960
13b,32768,8,h100_80gb,15.36,20.49,1,3,24,0,15338,1917,786432,amp_bf16,PURE,FULL_SHARD,True,False,13011240960
13b,32768,8,h100_80gb,15.34,20.45,1,3,24,0,15309,1913,786432,amp_bf16,PURE,FULL_SHARD,True,False,13011240960
13b,8192,8,h100_80gb,18.51,24.68,5,3,120,3,30075,3759,983040,amp_bf16,PURE,FULL_SHARD,True,False,12885411840
13b,8192,8,h100_80gb,18.48,24.64,5,3,120,3,30030,3753,983040,amp_bf16,PURE,FULL_SHARD,True,False,12885411840
13b,8192,8,h100_80gb,18.58,24.77,5,3,120,3,30179,3772,983040,amp_bf16,PURE,FULL_SHARD,True,False,12885411840
13b,2048,8,h100_80gb,20.51,27.35,20,3,480,19,39532,4941,983040,amp_bf16,PURE,FULL_SHARD,True,False,12853954560
13b,2048,8,h100_80gb,20.64,27.52,20,3,480,19,39779,4972,983040,amp_bf16,PURE,FULL_SHARD,True,False,12853954560
13b,2048,8,h100_80gb,20.49,27.32,20,3,480,19,39478,4934,983040,amp_bf16,PURE,FULL_SHARD,True,False,12853954560
13b,512,8,h100_80gb,21.31,28.42,80,3,1920,84,43074,5384,983040,amp_bf16,PURE,FULL_SHARD,True,False,12846090240
13b,512,8,h100_80gb,21.25,28.34,80,3,1920,83,42954,5369,983040,amp_bf16,PURE,FULL_SHARD,True,False,12846090240
13b,512,8,h100_80gb,21.12,28.16,80,3,1920,83,42684,5335,983040,amp_bf16,PURE,FULL_SHARD,True,False,12846090240
7b,32768,8,h100_80gb,15.14,20.19,2,2,32,0,25983,3247,1048576,amp_bf16,PURE,FULL_SHARD,True,False,6784688128
7b,32768,8,h100_80gb,15.22,20.3,2,2,32,0,26127,3265,1048576,amp_bf16,PURE,FULL_SHARD,True,False,6784688128
7b,32768,8,h100_80gb,15.13,20.18,2,2,32,0,25973,3246,1048576,amp_bf16,PURE,FULL_SHARD,True,False,6784688128
7b,8192,8,h100_80gb,18.19,24.26,8,2,128,6,54355,6794,1048576,amp_bf16,PURE,FULL_SHARD,True,False,6684024832
7b,8192,8,h100_80gb,18.06,24.08,8,2,128,6,53957,6744,1048576,amp_bf16,PURE,FULL_SHARD,True,False,6684024832
7b,8192,8,h100_80gb,18.21,24.29,8,2,128,6,54419,6802,1048576,amp_bf16,PURE,FULL_SHARD,True,False,6684024832
7b,2048,8,h100_80gb,20.24,26.99,32,2,512,36,74217,9277,1048576,amp_bf16,PURE,FULL_SHARD,True,False,6658859008
7b,2048,8,h100_80gb,20.22,26.95,32,2,512,36,74132,9266,1048576,amp_bf16,PURE,FULL_SHARD,True,False,6658859008
7b,2048,8,h100_80gb,20.23,26.97,32,2,512,36,74180,9272,1048576,amp_bf16,PURE,FULL_SHARD,True,False,6658859008
7b,512,8,h100_80gb,21.01,28.01,128,2,2048,159,81676,10209,1048576,amp_bf16,PURE,FULL_SHARD,True,False,6652567552
7b,512,8,h100_80gb,21.01,28.01,128,2,2048,159,81679,10209,1048576,amp_bf16,PURE,FULL_SHARD,True,False,6652567552
7b,512,8,h100_80gb,20.94,27.92,128,2,2048,159,81417,10177,1048576,amp_bf16,PURE,FULL_SHARD,True,False,6652567552
3b,32768,8,h100_80gb,14.01,18.68,3,6,144,1,45654,5706,4718592,amp_bf16,PURE,FULL_SHARD,True,False,2730480640
3b,32768,8,h100_80gb,14.0,18.67,3,6,144,1,45607,5700,4718592,amp_bf16,PURE,FULL_SHARD,True,False,2730480640
3b,32768,8,h100_80gb,13.96,18.61,3,6,144,1,45465,5683,4718592,amp_bf16,PURE,FULL_SHARD,True,False,2730480640
3b,8192,8,h100_80gb,20.17,20.17,3,6,144,16,132753,16594,1179648,amp_bf16,PURE,FULL_SHARD,False,False,2667566080
3b,8192,8,h100_80gb,20.05,20.05,3,6,144,16,131934,16491,1179648,amp_bf16,PURE,FULL_SHARD,False,False,2667566080
3b,8192,8,h100_80gb,20.16,20.16,3,6,144,16,132697,16587,1179648,amp_bf16,PURE,FULL_SHARD,False,False,2667566080
3b,2048,8,h100_80gb,22.22,22.22,10,6,480,95,196229,24528,983040,amp_bf16,PURE,FULL_SHARD,False,False,2651837440
3b,2048,8,h100_80gb,22.21,22.21,10,6,480,95,196171,24521,983040,amp_bf16,PURE,FULL_SHARD,False,False,2651837440
3b,2048,8,h100_80gb,22.1,22.1,10,6,480,95,195192,24399,983040,amp_bf16,PURE,FULL_SHARD,False,False,2651837440
3b,512,8,h100_80gb,23.03,23.03,40,6,1920,434,222413,27801,983040,amp_bf16,PURE,FULL_SHARD,False,False,2647905280
3b,512,8,h100_80gb,23.19,23.19,40,6,1920,437,223994,27999,983040,amp_bf16,PURE,FULL_SHARD,False,False,2647905280
3b,512,8,h100_80gb,23.07,23.07,40,6,1920,435,222834,27854,983040,amp_bf16,PURE,FULL_SHARD,False,False,2647905280
1b,32768,8,h100_80gb,16.8,16.8,1,4,32,2,96354,12044,1048576,amp_bf16,PURE,FULL_SHARD,False,False,1378865152
1b,32768,8,h100_80gb,16.77,16.77,1,4,32,2,96182,12022,1048576,amp_bf16,PURE,FULL_SHARD,False,False,1378865152
1b,32768,8,h100_80gb,16.75,16.75,1,4,32,2,96105,12013,1048576,amp_bf16,PURE,FULL_SHARD,False,False,1378865152
1b,8192,8,h100_80gb,18.33,18.33,2,4,64,27,226682,28335,524288,amp_bf16,PURE,FULL_SHARD,False,False,1328533504
1b,8192,8,h100_80gb,18.37,18.37,2,4,64,27,227183,28397,524288,amp_bf16,PURE,FULL_SHARD,False,False,1328533504
1b,8192,8,h100_80gb,18.2,18.2,2,4,64,27,225010,28126,524288,amp_bf16,PURE,FULL_SHARD,False,False,1328533504
350m,32768,8,h100_80gb,14.48,14.48,1,4,32,5,191165,23895,1048576,amp_bf16,PURE,FULL_SHARD,False,False,387442688
350m,32768,8,h100_80gb,14.44,14.44,1,4,32,5,190718,23839,1048576,amp_bf16,PURE,FULL_SHARD,False,False,387442688
350m,32768,8,h100_80gb,14.49,14.49,1,4,32,5,191350,23918,1048576,amp_bf16,PURE,FULL_SHARD,False,False,387442688
350m,16384,8,h100_80gb,14.95,14.95,2,4,64,20,335478,41934,1048576,amp_bf16,PURE,FULL_SHARD,False,False,370665472
350m,16384,8,h100_80gb,14.88,14.88,2,4,64,20,333921,41740,1048576,amp_bf16,PURE,FULL_SHARD,False,False,370665472
350m,16384,8,h100_80gb,14.98,14.98,2,4,64,20,336016,42002,1048576,amp_bf16,PURE,FULL_SHARD,False,False,370665472
350m,512,8,h100_80gb,16.16,16.16,56,4,1792,2194,1123449,140431,917504,amp_bf16,PURE,FULL_SHARD,False,False,354412544
350m,512,8,h100_80gb,16.4,16.4,56,4,1792,2226,1139870,142483,917504,amp_bf16,PURE,FULL_SHARD,False,False,354412544
350m,512,8,h100_80gb,16.38,16.38,56,4,1792,2224,1138963,142370,917504,amp_bf16,PURE,FULL_SHARD,False,False,354412544
