Model,SeqLen (T),# GPUs,GPU,MFU,HFU,MicroBatchSize,GradAccum,GlobalBatchSize,Throughput (S/s),Throughput (T/s),Throughput (T/s/GPU),GlobalBatchSize (T),Precision,MP Mode,Sharding Strategy,Activation Checkpointing,Activation CPUOffload,NumParams
13b,8192,8,a100_40gb,195.1,260.14,1,16,128,6,49974,6246,1048576,amp_bf16,PURE,FULL_SHARD,True,False,12885411840
13b,8192,8,a100_80gb,199.11,265.48,1,16,128,6,51000,6375,1048576,amp_bf16,PURE,FULL_SHARD,True,False,12885411840
13b,4096,8,a100_40gb,100.84,134.46,2,16,256,7,28847,3605,1048576,amp_bf16,PURE,FULL_SHARD,True,False,12864440320
13b,4096,8,a100_80gb,102.31,136.42,2,16,256,7,29268,3658,1048576,amp_bf16,PURE,FULL_SHARD,True,False,12864440320
13b,2048,16,a100_40gb,53.5,71.34,10,16,2560,15,32510,2031,5242880,amp_bf16,PURE,FULL_SHARD,True,False,12853954560
13b,2048,8,a100_40gb,51.31,68.41,4,16,512,7,15587,1948,1048576,amp_bf16,PURE,FULL_SHARD,True,False,12853954560
13b,2048,8,a100_80gb,55.49,73.98,20,3,480,8,16856,2107,983040,amp_bf16,PURE,FULL_SHARD,True,False,12853954560
13b,1024,8,a100_40gb,51.54,68.71,8,16,1024,15,16158,2019,1048576,amp_bf16,PURE,FULL_SHARD,True,False,12848711680
13b,1024,8,a100_40gb,36.97,36.97,1,16,128,11,11591,1448,131072,amp_bf16,PURE,FULL_SHARD,False,False,12848711680
13b,1024,8,a100_40gb,36.33,36.33,1,4,32,11,11389,1423,32768,amp_bf16,PURE,FULL_SHARD,False,False,12848711680
13b,512,8,a100_40gb,52.08,69.45,16,16,2048,32,16595,2074,1048576,amp_bf16,PURE,FULL_SHARD,True,False,12846090240
13b,512,8,a100_40gb,23.1,23.1,1,16,128,14,7358,919,65536,amp_bf16,PURE,FULL_SHARD,False,False,12846090240
13b,128,8,a100_40gb,6.25,6.25,1,16,128,15,2014,251,16384,amp_bf16,PURE,FULL_SHARD,False,False,12844124160
7b,2048,8,a100_80gb,53.64,71.52,32,2,512,15,31010,3876,1048576,amp_bf16,PURE,FULL_SHARD,True,False,6658859008
7b,2048,8,a100_40gb,50.42,67.23,12,4,384,14,29150,3643,786432,amp_bf16,PURE,FULL_SHARD,True,False,6658859008
7b,2048,8,a100_80gb,53.09,70.79,12,4,384,14,30692,3836,786432,amp_bf16,PURE,FULL_SHARD,True,False,6658859008
7b,2048,8,a100_80gb,57.18,57.18,2,16,256,16,33055,4131,524288,amp_bf16,PURE,FULL_SHARD,False,False,6658859008
7b,2048,8,a100_80gb,47.69,47.69,1,16,128,13,27569,3446,262144,amp_bf16,PURE,FULL_SHARD,False,False,6658859008
7b,1024,8,a100_40gb,56.13,56.13,4,16,512,32,33727,4215,524288,amp_bf16,PURE,FULL_SHARD,False,False,6654664704
7b,1024,8,a100_40gb,47.01,47.01,2,16,256,27,28245,3530,262144,amp_bf16,PURE,FULL_SHARD,False,False,6654664704
7b,1024,8,a100_40gb,34.74,34.74,1,16,128,20,20875,2609,131072,amp_bf16,PURE,FULL_SHARD,False,False,6654664704
7b,1024,8,a100_40gb,56.24,56.24,4,4,128,33,33793,4224,131072,amp_bf16,PURE,FULL_SHARD,False,False,6654664704
7b,1024,8,a100_40gb,46.3,46.3,2,4,64,27,27822,3477,65536,amp_bf16,PURE,FULL_SHARD,False,False,6654664704
7b,1024,8,a100_40gb,34.29,34.29,1,4,32,20,20602,2575,32768,amp_bf16,PURE,FULL_SHARD,False,False,6654664704
3b,2048,8,a100_80gb,49.6,66.13,16,8,1024,33,69068,8633,2097152,amp_bf16,PURE,FULL_SHARD,True,False,2651837440
3b,2048,8,a100_80gb,49.54,66.05,12,8,768,33,68983,8622,1572864,amp_bf16,PURE,FULL_SHARD,True,False,2651837440
3b,2048,8,a100_80gb,63.3,63.3,12,8,768,43,88144,11018,1572864,amp_bf16,PURE,FULL_SHARD,False,False,2651837440
3b,2048,8,a100_80gb,61.95,61.95,8,8,512,42,86268,10783,1048576,amp_bf16,PURE,FULL_SHARD,False,False,2651837440
3b,2048,8,a100_80gb,48.75,65.0,8,8,512,33,67889,8486,1048576,amp_bf16,PURE,FULL_SHARD,True,False,2651837440
3b,2048,8,a100_80gb,55.15,55.15,3,16,384,37,76790,9598,786432,amp_bf16,PURE,FULL_SHARD,False,False,2651837440
3b,2048,8,a100_40gb,57.21,57.21,5,8,320,38,79667,9958,655360,amp_bf16,PURE,FULL_SHARD,False,False,2651837440
3b,2048,8,a100_80gb,46.31,61.75,5,8,320,31,64487,8060,655360,amp_bf16,PURE,FULL_SHARD,True,False,2651837440
3b,2048,8,a100_80gb,58.84,58.84,5,8,320,40,81938,10242,655360,amp_bf16,PURE,FULL_SHARD,False,False,2651837440
3b,2048,8,a100_80gb,52.58,52.58,2,16,256,35,73216,9152,524288,amp_bf16,PURE,FULL_SHARD,False,False,2651837440
1b,2048,8,a100_40gb,56.21,56.21,8,8,512,75,154114,19264,1048576,amp_bf16,PURE,FULL_SHARD,False,False,1315950592
1b,2048,8,a100_40gb,55.86,55.86,8,8,512,74,153151,19143,1048576,amp_bf16,PURE,FULL_SHARD,False,False,1315950592
1b,2048,8,a100_40gb,45.91,61.21,8,8,512,61,125871,15733,1048576,amp_bf16,PURE,FULL_SHARD,True,False,1315950592
1b,2048,8,a100_80gb,60.14,60.14,14,4,448,80,164898,20612,917504,amp_bf16,PURE,FULL_SHARD,False,False,1315950592
760m,2048,8,a100_40gb,51.5,51.5,12,4,384,114,235052,29381,786432,amp_bf16,PURE,FULL_SHARD,False,False,760470528
760m,2048,8,a100_40gb,51.96,51.96,12,4,384,115,237143,29642,786432,amp_bf16,PURE,FULL_SHARD,False,False,760470528
760m,2048,8,a100_40gb,42.72,56.96,12,4,384,95,194992,24374,786432,amp_bf16,PURE,FULL_SHARD,True,False,760470528
350m,2048,8,a100_40gb,36.26,36.26,16,4,512,161,330354,41294,1048576,amp_bf16,PURE,FULL_SHARD,False,False,355985408
350m,2048,8,a100_40gb,39.45,39.45,16,4,512,175,359403,44925,1048576,amp_bf16,PURE,FULL_SHARD,False,False,355985408
